- Recover from Injury	- 怪我からの回復
- Sold!{LF}	- 成交！{LF}
- No Sale	- 未售出
, but misses!	但没打中！
, and several others are thrown overboard. |Against such a mighty squall, there is little you can do but watch.{LF}{LF}The ship shudders as it is dashed against something solid, and purchase flies out from beneath your feet. You drift through the rain for what feels like forever.{LF}{LF}A flash of angry lightning decimates the main mast, and you catch a glimpse of Logus' red coat fluttering as he too is thrown skyward.{LF}{LF}Then, your body crashes hard against the water, and all is darkness.	还有几个人被抛出了船外。 |面对如此猛烈的风暴，你除了眼睁睁看着，几乎无能为力。{LF}{LF}船撞上某种坚硬的东西，剧烈地摇晃起来，你脚下一滑，失去了平衡。你在雨中飘荡，感觉仿佛过了永恒那么久。{LF}{LF}一道愤怒的闪电劈断了主桅杆，你瞥见洛加斯的红袍翻飞着，他也被抛向了空中。{LF}{LF}接着，你的身体重重地砸在水面上，一切陷入黑暗。
, assisted by	在…的协助下
. I've got your back.”	。我掩护你。”
. Let's get out of here.”	。我们离开这里。”
. Eat this. You don't look so good.” {LF}{LF}A roll of bread drops in through the bars and tumbles toward you.	。把这个吃了。你看起来状态不太好。” {LF}{LF}一个面包卷从栏杆间掉下来，滚向你。
.”{LF}{LF}The door clicks open, and you can see that under her robe, she is fitted in the gear of a crusader.{LF}{LF}”They are not going to let us leave without a fight. Can you handle yourself?”	”{LF}{LF}门咔哒一声开了，你能看到她的袍子下面，穿着一身十字军的装备。{LF}{LF}”他们不会轻易放我们走的。你能应付得来吗？”
”{LF}{LF}An item has been added to your stronghold inventory.	”{LF}{LF}一件物品已添加到你的要塞库存中。
{LF}  Dialogue :	{LF}  对话：
{LF}  Behavior :	{LF}  行为：
{LF}  Portrait :	{LF}  肖像：
{LF}  Crime :	{LF}  罪行：
{LF}{LF}{LF}Supports	{LF}{LF}{LF}支援
{LF}{LF}There are obvious signs that it has been used as a shelter at some point, but aside from the few Sahaguin who followed you, nobody else has been here in a very long time. All of the crates still dry enough to be functional are empty, and some have been pulled apart and used as firewood. {LF}{LF}Worst of all, there are no signs of a boat of any sort, much less one that would be suitable for a long journey at sea. |	{LF}{LF}有明显的迹象表明这里曾被用作避难所，但除了跟随你的那几个沙华鱼人之外，已经很久没有其他人来过了。所有还能用的干燥木箱都是空的，有些已经被拆开当柴火烧了。 {LF}{LF}最糟的是，没有任何船只的迹象，更不用说适合长途航海的船了。|
{LF}{LF}Bato scratches his head at the mention of the name. {LF}{LF}”That's over toward Tsarath, isn't it? It seems unlikely that there'd be imperial soldiers there. Worth a shot, right?” {LF}{LF}	{LF}{LF}听到这个名字，巴托挠了挠头。{LF}{LF}”那是往查拉思方向吧？那里不太可能有帝国士兵。值得一试，对吧？” {LF}{LF}
{LF}{LF}Upkeep	{LF}{LF}维持费
{LF}{LF}If any place on the island is going to have a seaworthy ship, it's going to be that shipyard. You aren't sure just where it is or how long it will take to get there, but any lead is better than nothing. Come morning, you set your sights for Greenback Bay and hope for the best.	{LF}{LF}如果这座岛上还有哪个地方能有适合航海的船，那一定就是那个造船厂了。你不确定它的具体位置，也不清楚要花多久才能到那里，但任何线索都比没有强。天亮时分，你瞄准了绿背湾，希望能有好运。
{LF}Hold Control and click to delete	{LF}按住 Control 并点击以删除
{LF}Click and drag to paint{LF}Hold Control and drag to delete{LF}Shift Click to pick up tiles{LF}Space Bar and drag to pan view{LF}	{LF}点击并拖动以绘制{LF}按住 Control 并拖动以删除{LF}按住 Shift 并点击以拾取图块{LF}按住空格键并拖动以平移视图{LF}
{LF}Title image fade complete. Creating buttons.	{LF}标题图像淡入完成。正在创建按钮。
{LF}Incomplete Data.{LF}Unable to load.	{LF}数据不完整。{LF}无法加载。
{LF}Band of	{LF}…的队伍
{LF}Button sliding complete. Game Over screen successfully created.	{LF}按钮滑动完成。游戏结束画面已成功创建。
{LF}Button creation complete. Sliding buttons into frame.	{LF}按钮创建完成。正在将按钮滑入框架。
{LF}Mesh setup complete. Fading in the title image.	{LF}网格设置完成。正在淡入标题图像。
{LF}Rare Keys	{LF}稀有钥匙
{LF}Rare Locks	{LF}稀有锁
{LF}Bad squares	{LF}不良地块
{LF}Unsecured Location{LF}{LF}Supports	{LF}无防御地点{LF}{LF}支援
{LF}Precious Keys	{LF}珍贵钥匙
{LF}Precious Locks	{LF}珍贵锁
{LF}Alleged	{LF}涉嫌
{LF}Join Up!	{LF}加入我们！
{LF}Insufficient Capacity{LF}	{LF}容量不足{LF}
{LF}Press and hold F1 or H for detailed information.	{LF}按住 F1 或 H 键查看详细信息。
{LF}New Save	{LF}新建存档
